,qf1,qf2,qf3_1,qf3_3,qf3_4,qf3_6,qf3_7,qf3_8,qf4,qf8,qf9_4,qf9_5,qf9_6,qprod1c_1,qprod1c_2,qprod1c_10,qprod1c_11,qprod1c_12,qprod1c_3,qprod1c_5,qprod1c_6,qprod1c_14,qprod1c_7,qprod1c_8,qprod2,qprod3_2,qprod3_4,qprod3_8,qprod3_9,qprod3_10,qprod3_11,qprod3_17,qf10_1,qf10_2,qf10_3,qf10_4,qf10_5,qf10_6,qf10_7,qf10_8,qf10_9,qf10_10,qf10_11,qf10_12,qk1,qf11,qf12_1_a,qf12_1_b,qf12_2_d,qf12_3_e,qf12_3_f,qf12_4_l,qf12_6_q,qf13,qd1,qd7,qd9,qd10,AREA5,defrauded,qf9_2_3,qf9_7_8,qf9_1_9,qprod3_1_16,qprod3_3_6,qprod3_5_7_12_14,qprod3_13_15,qf12_1c_3g,qf12_4k_5m_5o_6p,fin_knowledge_score,Debtor,Perc_Fin_Lit,Saver_Spender,Planner_Easygoer,Fin_Products_Experience,Fin_Indipendence,Approach_Digitalised
1318,2,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,2,3,3,3,3,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,3,2,3,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,6,0.0,-0.25,-1.65,2.75,0.4,-1.0,-1.0
1319,2,1,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,5,3,1,5,1,3,2,3,3,4,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,1,4,5,2,3,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0,-2.5,-2.75,2.1,3.5,-0.5,0.0,-0.5
1320,2,1,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,5,5,1,3,3,3,3,3,3,5,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,1,2,1,2,1,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,2,-4.5,1.0,6.1,4.5,3.7,0.0,-0.5
1321,2,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,4,5,1,1,1,1,5,2,3,5,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,4,5,2,1,0,1,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-1,-4.25,0.25,6.6,8.5,0.5,1.0,-0.0
1322,2,0,0,1,0,0,0,0,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,4,4,1,5,1,3,3,3,3,5,3,-99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,5,3,4,3,1,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,2,-4.5,0.5,2.6,0.0,0.5,0.0,-0.0
1323,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2,3,2,1,3,3,1,2,3,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,5,3,6,3,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0.75,-1.5,-2.25,1.75,0.4,0.7,0.0
1324,2,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,3,2,1,5,1,3,2,2,1,4,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,3,3,1,3,1,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,7,-1.75,-0.25,-2.65,0.75,0.0,0.0,-0.0
1325,2,1,0,1,0,0,0,0,-99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,4,1,2,5,2,5,4,3,4,5,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,3,2,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,1.0,3,2.75,-0.5,0.25,-0.75,0.5,-1.0,-0.0
1326,2,1,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,5,5,1,2,1,3,5,3,3,5,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,2,3,2,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,1,-4.5,0.0,7.35,6.75,0.3,1.5,-0.5
1327,1,1,0,1,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5,3,1,5,2,1,2,5,5,5,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,4,1,1,3,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,-5.5,2.75,4.35,7.25,2.4,2.5,-0.5
1328,2,0,0,0,0,0,0,1,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,4,2,2,-99,3,3,3,2,2,4,5,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,4,3,2,3,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,2,-0.75,0.5,-2.5,3.0,0.0,-2.0,-0.0
1329,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,2,3,3,5,1,3,3,1,1,3,5,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1,5,3,0,0,0,1,-99.0,-99.0,-99.0,-99.0,1.0,0.0,3,1.0,0.0,-0.25,-0.75,0.3,0.5,-0.5
1330,2,1,1,1,0,0,0,0,-99,6,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,1,1,3,1,1,1,2,1,1,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,1,4,5,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.25,2.0,3.5999999999999996,2.5,1.5,1.0,-0.7
1331,2,0,1,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,5,1,5,2,3,3,2,2,5,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,3,1,4,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,7,-4.0,-3.0,6.1,-0.5,1.1,-0.5,0.5
1332,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,3,2,4,1,3,1,1,1,2,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,3,2,3,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,2,4.25,-0.5,-4.75,2.25,0.0,0.7,0.0
1333,2,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,5,5,1,5,1,1,4,3,3,4,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,3,1,2,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,7,-2.5,1.0,4.35,6.25,2.1,1.2,-1.2
1334,2,1,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,1,5,2,1,3,4,1,1,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,2,3,4,3,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,3,3.75,-3.0,-0.8999999999999999,3.0,0.4,-1.0,1.0
1335,1,0,0,1,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,2,4,3,4,2,2,5,2,2,2,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,3,3,2,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,5,2.5,-1.0,5.1,3.5,0.5,3.0,-0.0
1336,2,1,0,0,0,0,0,1,-99,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,1,3,1,5,2,3,3,1,1,2,5,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,6,5,6,5,0,1,0,0,-99.0,-99.0,-99.0,-99.0,1.0,0.0,-1,3.5,-1.25,-3.75,-1.75,0.0,0.0,-0.0
1337,2,0,0,1,0,1,0,0,1,3,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,4,4,1,3,3,2,2,3,2,3,3,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,1,3,3,2,3,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,7,-0.25,2.0,5.25,5.25,8.3,2.3,0.0
1338,1,1,0,1,0,0,0,0,1,-99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3,3,4,2,-99,1,3,3,4,3,3,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,1,5,3,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,1,-0.5,0.25,3.85,5.25,0.5,3.0,-0.0
